,time,sum cs power,sum hpc,sum public,sum home,sum work
0,2021-09-17 00:00:00,110.1,0.0,51.4,58.7,0.0
1,2021-09-17 00:15:00,85.2432,0.0,44.234,41.0092,0.0
2,2021-09-17 00:30:00,57.2452,0.0,30.514,26.7312,0.0
3,2021-09-17 00:45:00,62.5,0.0,33.1,29.4,0.0
4,2021-09-17 01:00:00,58.5424,0.0,30.1316,28.4108,0.0
5,2021-09-17 01:15:00,34.4924,0.0,25.7,8.7924,0.0
6,2021-09-17 01:30:00,40.4,0.0,25.7,14.7,0.0
7,2021-09-17 01:45:00,29.8544,0.0,15.1544,14.7,0.0
8,2021-09-17 02:00:00,20.2364,0.0,8.8192,11.4172,0.0
9,2021-09-17 02:15:00,29.4,0.0,7.4,22.0,0.0
10,2021-09-17 02:30:00,40.4,0.0,18.4,22.0,0.0
11,2021-09-17 02:45:00,40.4,0.0,18.4,22.0,0.0
12,2021-09-17 03:00:00,40.4,0.0,18.4,22.0,0.0
13,2021-09-17 03:15:00,32.4,0.0,18.4,14.0,0.0
14,2021-09-17 03:30:00,24.4924,0.0,18.4,6.0924,0.0
15,2021-09-17 03:45:00,18.4,0.0,18.4,0.0,0.0
16,2021-09-17 04:00:00,11.9748,0.0,11.9748,0.0,0.0
17,2021-09-17 04:15:00,22.0,0.0,11.0,0.0,11.0
18,2021-09-17 04:30:00,22.0,0.0,11.0,0.0,11.0
19,2021-09-17 04:45:00,22.0,0.0,11.0,0.0,11.0
20,2021-09-17 05:00:00,22.0,0.0,11.0,0.0,11.0
21,2021-09-17 05:15:00,14.2324,0.0,11.0,0.0,3.2324
22,2021-09-17 05:30:00,11.0,0.0,11.0,0.0,0.0
23,2021-09-17 05:45:00,22.0,0.0,22.0,0.0,0.0
24,2021-09-17 06:00:00,22.0,0.0,22.0,0.0,0.0
25,2021-09-17 06:15:00,53.6252,0.0,33.0,3.7,16.9252
26,2021-09-17 06:30:00,64.2808,0.0,38.5808,3.7,22.0
27,2021-09-17 06:45:00,85.8924,0.0,38.1924,3.7,44.0
28,2021-09-17 07:00:00,136.342,0.0,59.8668,3.7,72.7752
29,2021-09-17 07:15:00,172.0576,0.0,57.8036,0.0,114.254
30,2021-09-17 07:30:00,168.1776,0.0,71.3056,0.0,96.872
31,2021-09-17 07:45:00,241.4188,0.0,96.3668,0.0,145.052
32,2021-09-17 08:00:00,215.9148,50.0,60.9312,0.0,104.9836
33,2021-09-17 08:15:00,225.4988,0.0,77.2,0.0,148.2988
34,2021-09-17 08:30:00,249.9044,0.0,88.2,0.0,161.7044
35,2021-09-17 08:45:00,291.4988,0.0,159.102,0.0,132.3968
36,2021-09-17 09:00:00,238.4724,0.0,161.4076,0.0,77.0648
37,2021-09-17 09:15:00,208.5172,0.0,161.2576,0.0,47.2596
38,2021-09-17 09:30:00,130.8528,0.0,105.708,0.0,25.1448
39,2021-09-17 09:45:00,161.8,0.0,117.6,0.0,44.2
40,2021-09-17 10:00:00,148.5356,0.0,106.6,0.0,41.9356
41,2021-09-17 10:15:00,208.4568,50.0,110.07,0.0,48.3868
42,2021-09-17 10:30:00,172.6584,0.0,115.3556,0.0,57.3028
43,2021-09-17 10:45:00,151.7868,0.0,104.5904,0.0,47.1964
44,2021-09-17 11:00:00,113.7608,0.0,84.2608,3.7,25.8
45,2021-09-17 11:15:00,130.5212,0.0,84.5,9.2212,36.8
46,2021-09-17 11:30:00,125.0,0.0,84.5,3.7,36.8
47,2021-09-17 11:45:00,131.3556,0.0,99.2,3.7,28.4556
48,2021-09-17 12:00:00,104.3992,0.0,66.2,14.7,23.4992
49,2021-09-17 12:15:00,118.1756,0.0,77.2,22.4756,18.5
50,2021-09-17 12:30:00,120.874,0.0,88.7,13.674,18.5
51,2021-09-17 12:45:00,96.0204,0.0,77.0204,3.7,15.3
52,2021-09-17 13:00:00,154.9548,0.0,121.1,20.8116,13.0432
53,2021-09-17 13:15:00,223.5264,0.0,163.8,37.6264,22.1
54,2021-09-17 13:30:00,214.0344,0.0,138.8204,31.722,43.492
55,2021-09-17 13:45:00,209.488,0.0,127.2,43.1264,39.1616
56,2021-09-17 14:00:00,202.0732,0.0,132.2732,33.1,36.7
57,2021-09-17 14:15:00,147.5392,0.0,88.1508,22.6884,36.7
58,2021-09-17 14:30:00,199.6964,0.0,82.2716,80.7248,36.7
59,2021-09-17 14:45:00,246.2888,50.0,79.812,79.7768,36.7
60,2021-09-17 15:00:00,205.9268,0.0,126.3492,59.7168,19.8608
61,2021-09-17 15:15:00,195.192,0.0,145.1968,35.2952,14.7
62,2021-09-17 15:30:00,210.8564,0.0,180.0744,16.082,14.7
63,2021-09-17 15:45:00,221.1392,0.0,163.1152,43.324,14.7
64,2021-09-17 16:00:00,192.0464,0.0,148.324,35.3612,8.3612
65,2021-09-17 16:15:00,173.7868,0.0,122.3868,47.7,3.7
66,2021-09-17 16:30:00,276.624,100.0,136.0,36.924,3.7
67,2021-09-17 16:45:00,265.446,50.0,167.646,44.1,3.7
68,2021-09-17 17:00:00,224.3216,0.0,194.7,25.9216,3.7
69,2021-09-17 17:15:00,208.58,0.0,187.2972,17.5828,3.7
70,2021-09-17 17:30:00,213.1212,0.0,192.5772,16.844,3.7
71,2021-09-17 17:45:00,241.1164,0.0,188.062,27.3544,25.7
72,2021-09-17 18:00:00,260.184,0.0,159.0572,75.4268,25.7
73,2021-09-17 18:15:00,322.9216,50.0,189.5512,57.6704,25.7
74,2021-09-17 18:30:00,297.9036,0.0,230.0848,42.1188,25.7
75,2021-09-17 18:45:00,259.1868,0.0,169.8892,63.5976,25.7
76,2021-09-17 19:00:00,252.5812,0.0,162.6496,64.2316,25.7
77,2021-09-17 19:15:00,280.6436,0.0,177.8436,77.1,25.7
78,2021-09-17 19:30:00,317.3596,0.0,204.4092,88.9824,23.968
79,2021-09-17 19:45:00,359.8272,50.0,233.5924,72.5348,3.7
80,2021-09-17 20:00:00,335.0552,50.0,217.9372,63.418,3.7
81,2021-09-17 20:15:00,206.7856,0.0,144.1212,58.9644,3.7
82,2021-09-17 20:30:00,199.5516,0.0,145.4552,50.3964,3.7
83,2021-09-17 20:45:00,232.9536,0.0,136.2108,71.0428,25.7
84,2021-09-17 21:00:00,258.1844,50.0,101.7844,84.4,22.0
85,2021-09-17 21:15:00,151.188,0.0,60.684,68.504,22.0
86,2021-09-17 21:30:00,151.556,50.0,42.5924,46.3948,12.5688
87,2021-09-17 21:45:00,83.3976,0.0,23.592,59.8056,0.0
88,2021-09-17 22:00:00,73.6,0.0,14.8,58.8,0.0
89,2021-09-17 22:15:00,71.4532,0.0,42.1224,29.3308,0.0
90,2021-09-17 22:30:00,112.6,50.0,40.5,22.1,0.0
91,2021-09-17 22:45:00,70.3216,0.0,51.5,18.8216,0.0
92,2021-09-17 23:00:00,159.6956,50.0,96.0708,13.6248,0.0
93,2021-09-17 23:15:00,110.8,0.0,99.7,11.1,0.0
94,2021-09-17 23:30:00,110.3,0.0,99.2,11.1,0.0
95,2021-09-17 23:45:00,148.9168,0.0,123.1168,25.8,0.0
96,2021-09-18 00:00:00,167.356,50.0,76.856,40.5,0.0
97,2021-09-18 00:15:00,113.9,0.0,51.4,62.5,0.0
98,2021-09-18 00:30:00,110.5192,0.0,42.0328,68.4864,0.0
99,2021-09-18 00:45:00,86.5116,0.0,40.4,46.1116,0.0
100,2021-09-18 01:00:00,77.1696,0.0,36.7696,40.4,0.0
101,2021-09-18 01:15:00,66.1,0.0,25.7,40.4,0.0
102,2021-09-18 01:30:00,58.7072,0.0,14.7,44.0072,0.0
103,2021-09-18 01:45:00,62.0444,0.0,29.4,32.6444,0.0
104,2021-09-18 02:00:00,36.9536,0.0,10.454,26.4996,0.0
105,2021-09-18 02:15:00,30.0368,0.0,7.4,22.6368,0.0
